Cust_id,Date,Time,Name,Email,Phone,Sms-opt-out,Sms_opt_out
1,2023-03-15,08:45:12,Rachel,rachel@centralperk.coffee,212-555-1001,N,False
2,2023-05-22,12:30:45,R Geller,rossg@centralperk.coffee,212-555-1002,N,False
3,2023-07-09,18:15:27,Monica Geller,chefmonica@centralperk.coffee,212-555-1003,N,False
4,2023-09-01,21:05:33,Chandler Bing,chandlerb@centralperk.coffee,212-555-1004,Y,False
5,2023-11-18,14:22:10,Joey,howyoudoing@centralperk.coffee,212-555-1005,N,False
6,2024-01-05,10:55:49,P Buffay,smellycat@centralperk.coffee,212-555-1006,N,False
7,2024-02-14,16:40:05,Gunther,gunther@centralperk.coffee,212-555-1007,N,False
8,2023-04-20,09:15:30,Janice,ohmygod@centralperk.coffee,212-555-1008,N,False
9,2023-06-30,13:50:55,Mike H.,mike@centralperk.coffee,212-555-1009,N,False
10,2023-08-25,17:25:10,Emily,emily@centralperk.coffee,212-555-1010,N,False
11,2023-04-12,09:20:30,Walter White,heisenberg@lospolloshermanos.biz,505-555-2001,N,False
12,2023-06-25,13:45:50,Jesse Pinkman,jesse@lospolloshermanos.biz,505-555-2002,N,False
13,2023-08-03,17:30:15,Skyler W.,skyler@lospolloshermanos.biz,505-555-2003,Y,False
14,2023-10-19,20:05:40,Saul Goodman,bettercallsaul@lospolloshermanos.biz,505-555-2004,N,False
15,2024-02-28,11:15:25,H Schrader,hank@lospolloshermanos.biz,505-555-2005,N,False
16,2024-03-10,15:50:35,Gus Fring,gus@lospolloshermanos.biz,505-555-2006,N,False
17,2024-04-22,19:25:50,Mike E.,mike@lospolloshermanos.biz,505-555-2007,N,False
18,2023-05-14,10:30:45,Marie S.,marie@lospolloshermanos.biz,505-555-2008,N,False
19,2023-07-27,14:05:00,Todd,todd@lospolloshermanos.biz,505-555-2009,N,False
20,2023-09-09,18:40:15,Lydia R.,lydia@lospolloshermanos.biz,505-555-2010,N,False
21,2023-01-05,06:15:20,Jon Snow,knowsnothing@westeros.kingdom,123-555-3001,N,False
22,2023-02-18,10:40:35,Daenerys T.,dragonqueen@westeros.kingdom,123-555-3002,N,False
23,2023-04-22,14:05:50,Tyrion L.,theimp@westeros.kingdom,123-555-3003,Y,False
24,2023-06-30,18:30:10,Arya Stark,noface@westeros.kingdom,123-555-3004,N,False
25,2023-08-15,22:55:25,Sansa S.,queenofthenorth@westeros.kingdom,123-555-3005,N,False
26,2023-10-28,07:20:40,Cersei L.,queenregent@westeros.kingdom,123-555-3006,N,False
27,2023-12-12,11:45:55,J Lannister,kingslayer@westeros.kingdom,123-555-3007,N,False
28,2023-03-03,08:10:15,Bran Stark,threeeyedraven@westeros.kingdom,123-555-3008,N,False
29,2023-05-17,12:35:30,Samwell T.,maester@westeros.kingdom,123-555-3009,N,False
30,2023-07-29,16:00:45,Brienne,brienne@westeros.kingdom,123-555-3010,N,False
31,2023-03-10,09:25:30,Homer S.,donuts@springfield.power,636-555-4001,N,False
32,2023-05-05,13:50:45,Marge,marge@springfield.power,636-555-4002,N,False
33,2023-07-20,18:15:00,Bart,elbarto@springfield.power,636-555-4003,N,False
34,2023-09-15,22:40:15,Lisa S.,saxgirl@springfield.power,636-555-4004,Y,False
35,2023-11-08,07:05:30,Maggie,maggie@springfield.power,636-555-4005,N,False
36,2024-01-25,11:30:45,Ned Flanders,ned@springfield.power,636-555-4006,N,False
37,2024-03-18,15:55:00,Mr Burns,monty@springfield.power,636-555-4007,N,False
38,2023-04-22,10:20:15,Krusty,krusty@springfield.power,636-555-4008,N,False
39,2023-06-14,14:45:30,Chief Wiggum,wiggum@springfield.power,636-555-4009,N,False
40,2023-08-27,19:10:45,Milhouse,milhouse@springfield.power,636-555-4010,N,False
41,2023-02-12,08:35:15,Michael Scott,mscott@dundermifflin.com,570-555-5001,N,False
42,2023-04-28,12:00:30,Jim H.,jim@dundermifflin.com,570-555-5002,N,False
43,2023-07-05,16:25:45,Pam Beesly,pam@dundermifflin.com,570-555-5003,Y,False
44,2023-09-22,20:50:00,Dwight Schrute,dwight@dundermifflin.com,570-555-5004,N,False
